Название Вакансии,URL,Название компании,Описание
Скоринг-аналитик,https://vidnoe.hh.ru/vacancy/33975499?query=python,ООО Элемент Лизинг,"Построение моделей кредитного скоринга юридических лиц. Написание технической документации для построенных моделей. Тестирование качества действующих моделей. Владеете Python (Pandas, NumPy, Matplotlib, Sklearn), SQL. Знаете методы машинного обучения в области задачи бинарной классификации (как преимущество). "
Video/Image Compression Algorithm Expert,https://vidnoe.hh.ru/vacancy/33675203?query=python, HUAWEI,"1) Responsible for the planning of video & picture compression algorithms. Responsible for the deepdive, competitive analysis and project planning to... 5) Skilled in c/c++, python, Java etc. programming languages, skilled use of Tensorflow, Caffe, Keras, etc. AI programming framework. "
SOC / SIEM ИНЖЕНЕР ПО ИНФОРМАЦИОННОЙ БЕЗОПАСНОСТИ (МОСКВА),https://vidnoe.hh.ru/vacancy/33700446?query=python,АО Кросс технолоджис,"Участие в комплексных проектах Компании, работа непосредственно с заказчиками. Участие в предпродажной деятельности (Presale). Стендирование решений ИБ, внедрение средств защиты.  Опыт разработки на языках Java, SCALA, Python, знание технологий BigData. Знание технического английского языка на уровне чтения иностранной литературы (сдача..."
Junior RPA Developer / Младший RPA Разработчик,https://vidnoe.hh.ru/vacancy/33604268?query=python,ООО Новейшие Цифровые Технологии,"Работа в команде по разработке программных роботов для автоматизации бизнес-процессов. Разработка программных роботов RPA с использованием платформы Automation Anywhere... Знание и опыт разработки на С#, .Net, Python – как преимущество. Опыт участия в проектах автоматизации и/или интеграции, в том..."
Software Development Engineer in Test C#,https://vidnoe.hh.ru/vacancy/34073037?query=python, Лаборатория Касперского,"Улучшение существующих и создание новых автоматизированных тестов на С#. Анализ результатов автотестов и заведение дефектов. Разработка и поддержка вспомогательного ПО... Владение технологией WCF. Опыт работы с Git. Знание скриптовых языков: JavaScript, Python. Опыт написания SQL запросов, понимание принципов организации баз..."
Специалист (Мониторинг кредитных рисков),https://vidnoe.hh.ru/vacancy/34071959?query=python,АО ДОМ.РФ,"Участие в формировании запросов к базам данных. Участие в обработке данных (агрегация, верификация, анализ) по сделкам проектного финансирования из различных... Продвинутый уровень Excel (сводные таблицы, импорт данных), PowerPoint, знание VBA, SQL, Python. Навыки системного анализа, знание реляционных баз данных на..."
Разработчик (Административный департамент),https://vidnoe.hh.ru/vacancy/32597504?query=python, Банк ВТБ (ПАО),Участие в разработке пилотных проектов для обоснования востребованности продукта и эффективности. Проектирование архитектуры и разработка новых сервисов Административного департамента.  Понимание принципов работы различных архитектур нейронных сетей. Опыт программирования на Python/C++/C#/PHP. Опыт внедрения и улучшения бизнес-процессов. 
Разработчик T-SQL,https://vidnoe.hh.ru/vacancy/33236511?query=python, РУССКАРТ,"Проектирование структур данных. Разработка хранимых, процедур, функций, триггеров. Создание и оптимизация SQL-запросов и индексов. Взаимодействие с отделами разработки.  Знание одной из технологий web-разработки ASP. NET, PHP, Python, JSP. Умение читать и понимать планы запросов. Желание осваивать новые..."
Global ASO Manager,https://vidnoe.hh.ru/vacancy/34100059?query=python, Лаборатория Касперского,"ASO-аудит страниц приложений. Мониторинг стратегий конкурентов, настройку отчетности по аквизишну и ASO. Создание и поддержание семантического ядра и оптимизация... Высшее образование в области ИТ, маркетинга или лингвистики. 1 год работы на позиции ASO Manager/Стажер/Интернет-маркетолог в крупной..."
Младший инженер по внедрению и техподдержке телекоммуникационного биллинга (Зеленоград),https://vidnoe.hh.ru/vacancy/33973285?query=python, Латера,Общее описание: — поддерживать работу уже внедренного биллинга. — участвовать в решении сложных задач совместно с разработчиками. — общаться с клиентами: консультировать по... умение установить и настроить приложение в консоли Linux. — знание основ языка запросов SQL. Опыт работы с любой СУБД будет плюсом. — 
Senior GoLang Developer,https://vidnoe.hh.ru/vacancy/33736613?query=python,АО Технологическая Компания Центр,"Проектирование и разработка новых сервисов букмекерской платформы 888, API и разработка документации. Рутинные задачи в виде поддержки существующей кодовой базы... Умение выстраивать грамотную архитектуру приложения и писать тестируемый код. Опыт работы с Python2 или Python3. Опыт работы с..."
Backend разработчик (Middle\Senior),https://vidnoe.hh.ru/vacancy/30948143?query=python, Ситимобил,"Разработка и улучшение сервисов в Ситимобил. Хорошее знание и опыт использования как минимум одного из языков - С/С++, С#, Python, Go, Perl, PHP, Java, Ruby. "
DevOps (AWS) remote work,https://vidnoe.hh.ru/vacancy/33963124?query=python, VIAcode,Define a pipeline in AWS Data Pipeline between two S3 buckets in two different accounts. Do fast adhoc data... Amazon Data Pipeline. AWS Lambda. AWS Step Functions. 2+ years Python development experience. Solid virtualization experience with Hyper-V...
Java / Scala senior big data developer (Customer Relationship),https://vidnoe.hh.ru/vacancy/33882306?query=python, Леруа Мерлен. Центральный офис,"Собственная разработка и поддержка приложения в области интернет коммерции. Заниматься написанием юнит тестов. Следование API-based и Cloud-native подходу.  Очень пригодится знакомство со Scala. Опыт использования Spark, Hadoop, Flink, S3, Greenplum, Aerospike, Docker. Представление об основных алгоритмах машинного..."
"Руководитель направления клиентской аналитики, Маркетплейс",https://vidnoe.hh.ru/vacancy/32378950?query=python,ПАО Московская Биржа,"Изучение поведения клиентов платформы Маркетплейс: сегментация и кластеризация клиентской базы по поведенческим, социально-демографическим, продуктовым и др. характеристикам на основании... ...использования статистических пакетов (Python, R, SAS). Дополнительное образование в области построения DataLake на open-source решениях (Hadoop, Python, Kafka итд..."
Quantitative developer (HFT developer),https://vidnoe.hh.ru/vacancy/33207265?query=python, Cindicator,"Разработка программ, связанных с исследованиями рынка криптовалют: Разработка торговых стратегий (в соответствии с требованиями трейдеров). Создание инфраструктуры для трейдинга.  Объектно-ориентированное программирование. SQL. UNIX / Linux. Письменный и разговорный английский. Python (pandas, numpy, plotting). Понимание основ информатики, структур данных и..."
Инженер по тестированию сенсоров Беспилотных автомобилей,https://vidnoe.hh.ru/vacancy/33600523?query=python, Яндекс,Построение кроссплатформенной системы CI для кода на ARM и FPGA. Автоматизация тестирования сложного прибора: от софта и железа до интеграции... Понимание процессов ручного и автоматического тестирования. Опыт Hardware тестирования. Опыт написания кода на Python/C++ от 2 лет.
Разработчик BI (Vertica),https://vidnoe.hh.ru/vacancy/33234812?query=python, OZON.ru Разработка,"Разработка нового хранилища данных на основе СУБД Vertica. Участие в полном цикле построения BI-решений (проектирование, разработка, поддержка, развитие).  Опыт проектирования и разработки DWH. Знание СУБД Vertica обязательно. Знание платформы Apache AirFlow для запуска ETL. Знание языка Python для..."
Senior Golang Developer,https://vidnoe.hh.ru/vacancy/34069798?query=python, OZON.travel, Опыт разработки на Go / C# / C / C ++ / Java / PHP / Python / Ruby (любой из перечисленных языков). Умение работать быстро и...
JavaScript Developer,https://vidnoe.hh.ru/vacancy/33681445?query=python, Cloud Linux,"Formulate new and alternate ideas, approaches, and designs. Open to and values collaboration and feedback from others. More than 2 years experience with JavaScript professional development. Strong knowledge of JavaScript (ES6). Knowledge of HTML 5. "
Системный администратор Linux/DevOps,https://vidnoe.hh.ru/vacancy/33748370?query=python, BingoBoom,"Почтовые сервера (Postfix+Dovecot+ClamAV+Spamassasin+roundcube). Сети (Linux, mikrotik) Виртуализации (Proxmox). Веб-сервера (nginx) Корпоративный чат (Matrix + Riot). Мониторинг (zabbix).  Знание сетей (Routing, DNS, DHCP, Firewall, VPN, VLAN, STP, OSPF). Уметь программировать на скриптовых языках (python, bash). Опыт написания и..."
Программист PostgreSQL (PL/PGSQL),https://vidnoe.hh.ru/vacancy/32557339?query=python,ООО АБР Тех,"Разработка и сопровождение серверной части CRM системы, включая проектирование модели данных, создание объектов БД. Создание хранимых серверных процедур БД для... ...СУБД Oracle (знание PL/SQL). Опыт работы с git или другой системой контроля версий. Плюсом будет знание FastReport, JasperReports, Python."
DevOps Engineer (to Cyprus),https://vidnoe.hh.ru/vacancy/34069663?query=python,ООО Spotware Systems Ltd,"Automate Build/Deploy and software configuration/release management related tasks. Install, configure, administer, and tune application servers. Work with Development... Continuous Integration/Continuous Deployment (Jenkins). Good knowledge of Python scripting. Fluency in some of major scripting languages: shell scripts, groovy. "
Инженер систем виртуализации и СХД / Системный администратор,https://vidnoe.hh.ru/vacancy/33932487?query=python, NeoCommunications,"Администрирование систем хранения данных и SAN-сети. Администрирование системы виртуализации. Администрирование серверного оборудования с архитектурой x86. Мониторинг состояния и... Желателен опыт развертывания и сопровождения систем резервного копирования: Bareos, Veeam. Умение автоматизировать рутинные задачи, знание скриптовых языков (bash / python)."
Менеджер по аналитике,https://vidnoe.hh.ru/vacancy/34075099?query=python, Билайн,"Сбор, анализ и разработка (уточнение и детализация) требований заказчика. Разработка проектных документов: бизнес-требований, технического задания, описание продукта, описание процедур... ...с одной промышленной БД (Oracle, Teradata, другие). Понимание моделей данных и принципа устройства хранилищ. Знания одного из языков SQL/Python."
BI разработчик,https://vidnoe.hh.ru/vacancy/34055357?query=python, КРАФТЕР,"Построение витрин данных. Создание ETL процессов. Разработка и построение ЕХД. Разработка и поддержка корпоративной отчётности. Опыт построения ЕХД. Языки программирования: T-SQL, MDX, DAX, VBA, PowerShell, Python. Инструменты: MS SQL Server, SSAS, SSRS, PBIRS, SSIS. "
"Frontend developer (Limassol, Cyprus)",https://vidnoe.hh.ru/vacancy/34082554?query=python, Exness,"The main tasks are the development, layout and maintenance of modern user interfaces (website and personal account). The skills of... Completed higher education is a prerequisite for obtaining a work permit. Will be a plus: Python and Django knowledge. "
Менеджер по маркетингу,https://vidnoe.hh.ru/vacancy/34061299?query=python, Sibedge,"Проверять гипотезы и помогать определять наилучшую стратегию вывода услуги и технологий на разные рынки. Расширять бизнес за счет привлечения целевой... Интерес к IT сфере на глобальном уровне: тебя не должны пугать слова “Python”, “Orchestration (DevOps / SRE)“, “HR BOT“. "
Разработчик С/С++ Linux (ПО для IP камер),https://vidnoe.hh.ru/vacancy/29605546?query=python,ООО Ростелеком Информационные Технологии,"Участие в разработке ПО платформы видеонаблюдения, работающего на IP камерах. Знание Bash и скриптовых языков, таких как Perl, Python. Кодирование видео, понимание структуры видеопотоков на уровне двоичных данных, знание протоколов..."
Спам-аналитик,https://vidnoe.hh.ru/vacancy/33614232?query=python, Лаборатория Касперского,Исследовать способы рассылки спама и разрабатывать проактивные методы защиты. Защищать пользователей от опасных и отнимающих время рассылок. Улучшать систему метрик.  Интерес к предметной области. Хороший уровень знания регулярных выражений. Базовое знание SQL. Базовое знание Python. Опыт работы c командной строкой...
Старший эксперт по технологиям,https://vidnoe.hh.ru/vacancy/34091685?query=python,АО Сбербанк - Технологии,"АС ЕСА - mission critical highload система, обеспечивающая идентификацию и аутентификацию пользователей-клиентов банка в удаленных каналах обслуживания (веб, МП, АТМ).  Знание одного из языков программирования JAVA, C#, Perl, Python, C++. Опыт работы с одним или несколькими технологиями/протоколами: WEB, SOAP..."
Аналитик рисков кредитного портфеля,https://vidnoe.hh.ru/vacancy/33681983?query=python, ID Finance,"Написание запросов к базам данных и визуализация полученных результатов. Построение скоринговых моделей (application, fraud, behavioral, collection, response, propensity).  Желателен опыт построения скоринговых моделей start-to-end в розничном кредитовании (application, fraud, behavioral, collection, response, propensity). Языки программирования: Python..."
Ruby on Rails developer,https://vidnoe.hh.ru/vacancy/33218304?query=python, evrone.ru,"Не представлять себе разработку без тестов. Возможности посещения и участия в мероприятиях. Знания, опыт коммерческой и командной разработки на Ruby/RoR. Знания, опыт использования баз данных (не только через ORM). "
Devops инженер,https://vidnoe.hh.ru/vacancy/32440342?query=python, Иннова,"Строить и поддерживать внутреннее облако на базе Linux KVM и CEPH. Разворачивать и поддерживать собственную установку Kubernetes. Поддерживать и развивать... Знание скриптовых языков для повседневных задач (Bash, Python). Имеешь опыт настройки nginx под highload проекты. Имеешь опыт работы и развёртывания..."
Главный риск-менеджер/аналитик по риск-отчетности,https://vidnoe.hh.ru/vacancy/34081171?query=python,АО Россельхозбанк,"Участие в подготовке управленческой и регуляторной агрегированной отчетности по рискам на уровне банка и банковской группы (в т.ч.  Профессиональное владение MS Office (Excel, VBA, Power Point), SQL, Python. Опыт работы в коммерческом банке по направлению риск-отчетности, ВПОДК..."
"Php программист / Web разработчик / Full Stack Developer (Middle, Senior)",https://vidnoe.hh.ru/vacancy/33956566?query=python,ООО Эфир,"Mysql, написание SQL запросов, проектирование реляционных БД. Готов вести проект с нуля. Опытный и самостоятельный Web разработчик с отличным знанием PHP, фреймворков, JavaScript, MySQL, готов к интересным задачам и освоению новых технологий. "
Automation QA blockchain,https://vidnoe.hh.ru/vacancy/32213089?query=python, Руформ,"Автоматизировать процесс тестирования как внутренних частей сайта, так и внешних. Интеграционные тесты. Нагрузочные тесты. Тестирование GraphQL API. Внимание к деталям и желание не пропускать баги на прод. JavaScript / React.js. Python (django, aiohttp) / C++ (EOS Blockchain смарт-контракты). "
Network security engineer,https://vidnoe.hh.ru/vacancy/34077385?query=python, Kelly,"1. Responsible for researching and identifying typical non-secure code methods to ensure 100% recognition in typical scenarios such as... 2. Proficient in Python or any other mainstream scripting language, able to master regular expressions, can use the source code..."
Product Manager (Big Data продукты для маркетинга),https://vidnoe.hh.ru/vacancy/29875187?query=python, Double Data,"Реализация продукта со стадии расплывчатой идеи до четко спланированной реализации, масштабирования и последующей поддержки. Координация работы участников процесса создания продукта... Навыки работы в Tableau и прочих BI-инструментах. Опыт работы с Jira, Confluence. Свободный английский. Знание SQL, Python."
Developer C/C++,https://vidnoe.hh.ru/vacancy/20662182?query=python, Актив,"Улучшать, использовать и даже поддерживать открытые проекты OpenSC, OpenSSL и другие. Разрабатывать то, что завтра будут использовать наши клиенты.  ...работе операционных систем и USB-устройств. Обладаете навыками отладки на уровне USB-шины. Знакомы с Java, Objective-C, Python, C#."
Аналитик (кредитные риски),https://vidnoe.hh.ru/vacancy/33564818?query=python,ООО МФК Саммит,"Развивать систему внутренней отчетности по оценке кредитного риска. - Оценивать эффективность внедрения различных изменений в предоставлении услуг по выдаче займов. -  Знает любой язык программирования из следующих: R, VBA, С++, Python (пакеты numpy, pandas, scikit-learn) - как преимущество. - Знает английский язык..."
Заместитель директора Центра компетенций по расчету резервов,https://vidnoe.hh.ru/vacancy/34081208?query=python,АО Россельхозбанк,"Курирование аналитического направления (моделирование, отчетность, обработка данных). Поддержка процесса расчета резервов МСФО 9 портфелю активов Банка (корпоративный, розничный бизнес, операции... ...принципов стандарта МСФО 9. Офисное ПО: опытный пользователь (MS Office, PowerPoint, Visio). Практический опыт использования статистических пакетов: R, SAS, Python."
Руководитель направления (Frontend-разработчик в DS-команду),https://vidnoe.hh.ru/vacancy/34075817?query=python, Сбербанк для экспертов,"Участвовать в проектировании и создании frontend части web-сервисов. – Создание демонстрационных лендинг-сайтов. – Работать в команде с Data scientists и... Опыт в тестировании: Selenuim, NightWatch и др.. - Знание других языков программирования (Python, Java, C и тд). - Опыт построения REST систем."
Эксперт Департамента защиты информации,https://vidnoe.hh.ru/vacancy/34072833?query=python,АО Газпромбанк,"Эксплуатация, сопровождение и совершенствование систем инвентаризации, сканера уязвимостей, платформы управления уязвимостями. Осуществление инвентаризации АС Банка. Проведение сканирований на предмет выявления... Опыт написания скриптов автоматизации - например bash, python. Знание регулярных выражений, синтаксиса SQL запросов, методов автоматизации обработки больших объемов информации. "
Penetration testing engineer,https://vidnoe.hh.ru/vacancy/34075319?query=python, HUAWEI,"Implement test cases and output the penetration test reports and improvement suggestions. Improve penetration testing technology to make it better... Strong knowledge c/c++/python/java, relational databases. Graduation majored in computer, software engineering, and cyber security. Conversationally fluent English. "
Аудитор,https://vidnoe.hh.ru/vacancy/29670510?query=python,ПАО МТС Банк,"Участие в комплексных и тематических аудиторских проверках деятельности Банка. Анализ бизнес процессов по всем направлениям деятельности банка. Выявление и оценка... Опыт анализа и обработки больших объемов данных. Навыки программирования (SQL, PL/SQL, Python, VBA) - являются преимуществом. Ответственность‚ клиентоориентированность. "
Content Product Analyst (Продуктовый аналитик в отдел контента),https://vidnoe.hh.ru/vacancy/32264589?query=python, Skyeng,"Помогать бизнесу выбирать и проверять гипотезы. Проектировать и обсчитывать результаты экспериментов. Оценивать потенциальную прибыль от новых проектов. Наглядно представлять информацию... Навыки приоритизации задач и управления своим временем. Опыт работы с BI - инструментами. Python/R. Релевантный опыт в дизайне, проведении и..."
Frontend-разработчик,https://vidnoe.hh.ru/vacancy/34067273?query=python, MGCOM,"Участие в разработке нового ПО в рамках проекта. Сопровождение текущего кода. Английский язык (технический) на уровне, достаточном для чтения и понимания документации. Дополнительным плюсом будет: Опыт разработки на perl/python/django. "
Разработчик JavaScript,https://vidnoe.hh.ru/vacancy/34062809?query=python,АО РТИ,"Разработка программных продуктов (многопользовательская система графического ввода геопривязанных данных). Написание unit-тестов. Написание документации по своему коду. Знание Python. Знание ГИС-технологий, работа с OGC-протоколам. Опыт работы с..."
Менеджер качества данных,https://vidnoe.hh.ru/vacancy/34065599?query=python, Леруа Мерлен. Центральный офис,"Определить процесс проверки данных на консистентность (в 3 разных источниках). Определять точки мониторинга, объем выборок для сверок. При расхождении в... Продвинутый пользователь Excel. Хорошо знаете SQL. Знакомы с Python. Знаете Oracle Finance и кассовые системы (предпочтительно). Имеете опыт в работы..."
С++ Developer (Highload in-memory db),https://vidnoe.hh.ru/vacancy/33633447?query=python,ООО Ростелеком Информационные Технологии,"Участие в разработке С++ части бэкэнда – highload in-memory database. Знание высокоуровневых языков программирования, таких как, golang или python. Опыт использования cmake. Применение на практике фреймворков gtest и gbenchmark. "
Руководитель отдела маркетинга,https://vidnoe.hh.ru/vacancy/32844567?query=python,ООО Ду Ду Геймз,"Разработка стратегии закупок вместе с отделом аналитики — как, где и по какой цене покупать трафик, а также когда остановиться. -  Отличное знание мат. статистики и теории вероятностей. - Уверенное владение R или Python (в приоритете Python). - Уверенное владение SQL(мы используем..."
Начальник отдела (DWH),https://vidnoe.hh.ru/vacancy/33104823?query=python, НПФ БУДУЩЕЕ,"Управление отделом хранилища данных (до 3 сотрудников в подчинении). Разработка, сопровождение и администрирование различных SQL-процедур и функций на T... Опыт работы в финансовых организациях - желательно. Программирование на любом языке высокого уровня (Python, Java и пр.). Опыт администрирования СУБД MS..."
Системный аналитик,https://vidnoe.hh.ru/vacancy/32966061?query=python, Сбербанк для руководителей,"Участие в разработке моделей оценки рисков с использованием Python и SAS. Разработка алгоритмов и скриптов тестирования. Работа в SCRUM спринтах. Опыт работы аналитиком в проектах (желательно связанных с отчетностью, Хранилищами). Знание Hive, Spark, Jenkins, Python, SAS. Базовые знания архитектуры Hadoop. "
Frontend-разработчик,https://vidnoe.hh.ru/vacancy/31917125?query=python, DSSL,"Разработка и поддержка сервиса облачного видеонаблюдения. Разработка модулей нового функционала. Решение интересных архитектурных задач. Проведение code review. Рефакторинг и оптимизация... Опыт разработки на JavaScript и Python, базовые знания SQL. Знание паттернов ООП. Умение верстать (HTML, CSS). Опыт работы с React.js..."
Главный разработчик (LUA/Tarantool),https://vidnoe.hh.ru/vacancy/33058443?query=python, НПФ БУДУЩЕЕ,"Проектирование и разработка программного обеспечения. Разработка интеграционных потоков с другими системами. Поддержка уже написанного ПО, модификация, расширение возможностей, устранение недоработок... GIT. Плюсом будет: Опыт разработки на Python/JS/PHP. Опыт работы с высоконагруженными системами. Опыт разработки web-приложений и API."
"Заместитель начальника Управления методологии и анализа кредитных рисков (PD, LGD)",https://vidnoe.hh.ru/vacancy/34081188?query=python,АО Россельхозбанк,"Участие в проектах по развитию системы управления рисками Банка/Группы, проектах по внедрению ИТ-решений в области управления рисками.  Владение пакетом MS Office (PowerPoint и Excel на продвинутом уровне), владение R, SQL, Python (желательно). Опыт работы в банках топ..."
Главный риск-менеджер/аналитик по отчетности,https://vidnoe.hh.ru/vacancy/34081177?query=python,АО Россельхозбанк,"Участие в подготовке управленческой и регуляторной агрегированной отчетности по рискам на уровне банка и банковской группы (в т.ч.  Профессиональное владение MS Office (Excel, VBA, Power Point), SQL, Python. Опыт работы в коммерческом банке по направлению риск-отчетности, ВПОДК..."
Разработчик Navision,https://vidnoe.hh.ru/vacancy/34067580?query=python, Kelly,"Принять участие в доработке функционала системы. Имплементировать код в соответствии со стандартами качества под надзором опытных коллег. Проектировать и реализовывать... Говорить на английском достаточно хорошо, чтобы поддержать беседу по техническим вопросам (Intermediate \ Upper intermediate). Имеешь опыт разработки в ERP-системах. "
DevOps инженер,https://vidnoe.hh.ru/vacancy/30834943?query=python,АО Национальная система платежных карт,"Участвовать в создании масштабируемых высоконагруженных сервисов, обеспечивающих бизнес НСПК. Участвовать в проектировании систем и процессов, обеспечивающих автоматизацию разработки, тестирования и... Windows Server 2008+. Microsoft Active Directory. Git/Svn. Bash/Python/Java/PowerShell/Batch. Ansible/Tower. MySql/Tibero/PostgreSql. "
Главный специалист по эксплуатации Единой Интеграционной Платформы,https://vidnoe.hh.ru/vacancy/33760947?query=python,ПАО Ростелеком,"Прием и обработка инцидентов на 2-ой линии технической поддержки, первичная диагностика инцидентов. Консультирование пользователей по вопросам функционирования интеграционных решений.  ...навыки написания sql-запросов. Опыт администрирования Linux.Опыт работы с Oracle Weblogic приветствуется. Опыт разработки скриптов на Bash / Perl / Python приветствуется."
Системный администратор Linux/DevOps инженер,https://vidnoe.hh.ru/vacancy/34076164?query=python, ЛАБИРИНТ,"Администрирование серверов, баз данных, сетевого оборудования. Установка, эксплуатация, конфигурирование и администрирование информационных систем. Поддержка и развитие серверной и сетевой инфраструктуры.  Опыт программирования на Bash, плюсом будет дополнительно Python. Опыт работы с Zabbix и другими инструментами мониторинга (Prometeus, Grafana) и логирования..."
Senior Frontend Developer (React),https://vidnoe.hh.ru/vacancy/33549385?query=python,ООО Центр недвижимости от Сбербанка,"Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение... Бизнес-руководство, нацеленное на результат. Глубоко прониклись идеями JavaScript/HTML/CSS, React, Redux, Webpack, Babel, Node.js, MongoDB."
Актуарий,https://vidnoe.hh.ru/vacancy/33433830?query=python,АО ДОМ.РФ,"Анализ обязательств компании на конкретную дату. Анализ обязательств по состоявшимся случаям банкротства застройщиков на конкретную дату, включая подготовку таблиц, отражающих... Владение ПК на уровне профессионального пользователя, знание MS Excel обязательно, знание иного ПО (SAS, MATLAB, Python, R) желательно. "
Преподаватель компьютерных курсов,https://vidnoe.hh.ru/vacancy/33608560?query=python, Юниум,"Быть готовым брать на себя ответственность и заниматься подготовкой школьников к экзаменам. Проставление результатов учеников в электронном журнале в личном... Необходимые знания и навыки для ведения курса ""Программирование На Python"". Иметь опыт использования объектно-ориентированного языка программирования. Уметь писать стилистически..."
"Руководитель направления ""Корпоративные данные""",https://vidnoe.hh.ru/vacancy/33452470?query=python, Antal Russia,"Идентификация и классификация справочников, таблиц и источников данных в КИС. Разработка и контроль выполнения плана по реализации стратегии Компании в... Преимущество – практика работы с массивами данных через специализированные средства (OpenRefine, Finereader, Tableau Prep, Alteryx, Knime, PowerPivot, Excel Macros, Python). "
DevOps инженер,https://vidnoe.hh.ru/vacancy/33605925?query=python,ЗАО Сантэнс Сервис,"Поддерживать и автоматизировать процессы разработки / тестирования / доставки кода (CI / CD). Анализировать изменение кода и результаты тестирования (прием релиза).  Отличное знание Linux. Знание одного из языков: Bash, Python, Perl, Ruby, Groovy. Опыт внедрения CI процессов. Настройка и работа с..."
DevOps инженер,https://vidnoe.hh.ru/vacancy/34073895?query=python," АТОЛ, группа компаний","18 лет экспертизы на рынке кассового ПО и оборудования. 1 000 000 клиентов используют наши кассовые решения. Постоянная разработка инновационных... Знание Linux систем на уровне администратора. Опыт написания скриптов на Python/Bash. Опыт работы с системами мониторинга Zabbix, Prometheus. "
Инженер технической поддержки,https://vidnoe.hh.ru/vacancy/32136066?query=python,ООО НТ Прогресс,"Работа с клиентскими обращениями, прием обращений по телефону/почте. Ручное тестирование продукта. Составление тест планов, осуществление приемки продукта от разработчиков.  Приветствуется опыт поддержки первой линии. Приветствуются базовые знания в разработке ПО (C++/Python). Приветствуются базовые знания в администрировании Linux. "
Аналитик качества данных / Ведущий аналитик качества данных,https://vidnoe.hh.ru/vacancy/34082378?query=python, ANCOR Consumer Goods,"Сбор, анализ и спецификация требований к качеству данных. Мониторинг качества данных. Анализ и устранение причин и следствий проблем качества данных.  Знакомство с языками программирования, средами разработки и библиотеками:Python, С#, C++. Знакомство с продуктами Atlassian: Jira, Confluence, офисным ПО. "
DevOps Engineer / Системный администратор Linux,https://vidnoe.hh.ru/vacancy/33840268?query=python," AROUND, Группа компаний","Администрирование виртуальных серверов на deb-based системах и систем виртуализации. Участие в регламентных работах (обслуживание серверного оборудования в ДЦ).  Опыт администрирования систем мониторинга (Zabbix, ELK). Знания скриптовых языков bash, python. Знание Ansible, Docker и других современных инструментов. "
